image_name,path,label,rational_en,basename
001_above00230.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\001_above00230.JPG,NG,because the yolk is crushed and mixed with the egg white and the yolk spilling out and solidifying and it appears dry as the yolk has been overcooked.,above00230.JPG
002_above00034.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\002_above00034.JPG,NG,"because the edge of the egg white is nicely browned, and the egg white is cooked well, but the yolk is crushed, making it look unappealing.",above00034.JPG
003_above01063.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\003_above01063.JPG,OK,"because the browning of the egg white's edge is good, and the yolk is half-done.",above01063.JPG
004_above00979.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\004_above00979.JPG,OK,"because the egg white around the yolk looks undercooked, but the yolk is half-done.",above00979.JPG
005_above01079.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\005_above01079.JPG,OK,"because the surface of the egg white has a lot of oil, but the egg white is cooked just right, and the yolk is semi-soft.",above01079.JPG
006_above00099.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\006_above00099.JPG,NG,"because the egg white is mixed with the yolk, and it's not fully cooked, so it's somewhat raw.",above00099.JPG
007_above00305.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\007_above00305.JPG,OK,"because the yolk's surface is wrinkled, but the edge of the egg white is nicely browned, and the yolk is semi-soft.",above00305.JPG
008_above00225.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\008_above00225.JPG,OK,"because the edge of the yolk is crushed, but the egg white is cooked just right, and the yolk is semi-soft.",above00225.JPG
009_above00714.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\009_above00714.JPG,OK,"because the egg white is slightly undercooked, but the yolk is semi-soft.",above00714.JPG
010_above00561.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\010_above00561.JPG,NG,"because it looks dry due to overcooking, and the yolk is completely crushed.",above00561.JPG
011_above01015.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\011_above01015.JPG,OK,"because the egg white is well-browned and crispy, and the yolk's surface is smooth and semi-soft.",above01015.JPG
012_above00092.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\012_above00092.JPG,NG,"because the yolk is overcooked and appears dry, and the membrane on the yolk's surface is broken.",above00092.JPG
013_above01084.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\013_above01084.JPG,NG,"because it has a good browning, but it appears that the yolk is overcooked and looks dry.",above01084.JPG
014_above00638.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\014_above00638.JPG,OK,"because the yolk is oozing out, but the egg white is well-browned, and the yolk is semi-soft.",above00638.JPG
015_above00671.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\015_above00671.JPG,OK,"because there are too many air bubbles in the yolk, making it look unappealing, but the egg white is nicely browned, and the yolk is semi-soft.",above00671.JPG
016_above00097.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\016_above00097.JPG,NG,"because the yolk is cracked and spilled out, with some burnt parts, making it look unappetizing.",above00097.JPG
017_above00680.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\017_above00680.JPG,NG,"because the egg white is well-browned, but the yolk's membrane is broken, and there are many air bubbles, making it look unappealing.",above00680.JPG
018_above00734.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\018_above00734.JPG,OK,"because the egg white around the yolk is slightly undercooked, but the yolk is semi-soft.",above00734.JPG
019_above00946.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\019_above00946.JPG,OK,"because there are no faults in the assessment criteria, and the yolk is semi-soft.",above00946.JPG
020_above01091.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\020_above01091.JPG,OK,"because there are no faults in the assessment criteria, and the yolk is semi-soft.",above01091.JPG
021_above01005.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\021_above01005.JPG,OK,"because the egg white around the yolk is slightly undercooked, but the edge of the egg white is slightly browned and good, and the yolk is semi-soft.",above01005.JPG
022_above00582.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\022_above00582.JPG,OK,"because the egg white is mixed with the yolk, but the edge of the egg white is just the right amount of browned, and the yolk is semi-soft.",above00582.JPG
023_above00338.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\023_above00338.JPG,NG,"because the edge of the egg white is well-browned, but the yolk and the egg white are mixed together.",above00338.JPG
024_above00902.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\024_above00902.JPG,OK,"because the egg white around the yolk is slightly undercooked, but the yolk is semi-soft.",above00902.JPG
025_above00341.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\025_above00341.JPG,OK,"because there are air bubbles in the yolk, but the edge of the egg white is just the right amount of browned, and the yolk is semi-soft.",above00341.JPG
026_above00900.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\026_above00900.JPG,OK,"because the edge of the egg white is nicely browned, and the egg white is cooked well, resulting in a semi-soft yolk.",above00900.JPG
027_above00792.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\027_above00792.JPG,OK,"because the edge of the egg white is nicely browned and crispy, while the yolk is semi-soft.",above00792.JPG
028_above00808.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\028_above00808.JPG,OK,"because the egg white around the yolk and the yolk itself appear slightly undercooked, but the edge of the egg white is well-browned.",above00808.JPG
029_above00021.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\029_above00021.JPG,OK,"because the egg white is perfectly cooked, the edge of the egg white is nicely browned, and the yolk is semi-soft.",above00021.JPG
030_above01219.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\030_above01219.JPG,NG,"because the edge of the egg white is well-browned, but the yolk appears overcooked and dry, and the yolk's membrane is broken.",above01219.JPG
031_above00142.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\031_above00142.JPG,NG,"because the edge of the egg white is well-browned, but the egg white has seeped into the yolk, and the egg white around the yolk appears undercooked.",above00142.JPG
032_above01109.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\032_above01109.JPG,NG,"because the edge of the egg white is nicely browned, and the egg white is cooked well, but the yolk seems overcooked and dry.",above01109.JPG
033_above01159.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\033_above01159.JPG,NG,"because the edge of the egg white is nicely browned, and the egg white is cooked well, but the yolk appears overcooked and dry.",above01159.JPG
034_above00796.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\034_above00796.JPG,OK,"because the egg white around the yolk seems undercooked, but the edge of the egg white is well-browned, and the yolk is semi-soft.",above00796.JPG
035_above01048.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\035_above01048.JPG,OK,"because the egg white around the yolk seems undercooked, but the edge of the egg white is well-browned, and the yolk is semi-soft.",above01048.JPG
036_above00308.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\036_above00308.JPG,NG,"because the edge of the egg white is well-browned, but the yolk is crushed and mixed with the egg white.",above00308.JPG
037_above00995.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\037_above00995.JPG,OK,"because the egg white is cooked well, and the yolk is semi-soft.",above00995.JPG
038_above00786.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\038_above00786.JPG,OK,"because the egg white around the yolk seems undercooked, but the edge of the egg white is nicely browned, and the yolk is semi-soft.",above00786.JPG
039_above00867.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\039_above00867.JPG,OK,"because the egg white around the yolk seems undercooked, but the edge of the egg white is nicely browned, and the yolk is semi-soft.",above00867.JPG
040_above00208.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\040_above00208.JPG,NG,"because the yolk is crushed and mixed with the egg white, and there are many air bubbles.",above00208.JPG
041_above00993.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\041_above00993.JPG,OK,"because the egg white around the yolk seems undercooked, but the edge of the egg white is well-browned, and the yolk is semi-soft.",above00993.JPG
042_above00196.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\042_above00196.JPG,NG,"because the edge of the egg white is well-browned, but the yolk protrudes from the egg white, and part of the yolk is overcooked. Additionally, there is a lot of oil on the surface of the egg white.",above00196.JPG
043_above00762.JPG,C:\Users\taki\katlab\egg\dataset\egg_questiondataset\question_all\subfolder1\043_above00762.JPG,OK,"because the egg white around the yolk seems undercooked, but the yolk is semi-soft.",above00762.JPG
